label,title,date
1,"As U.S. budget fight looms, Republicans flip their fiscal script",2017-12-31
1,U.S. military to accept transgender recruits on Monday: Pentagon,2017-12-29
1,Senior U.S. Republican senator: 'Let Mr. Mueller do his job',2017-12-31
1,FBI Russia probe helped by Australian diplomat tip-off: NYT,2017-12-30
1,Trump wants Postal Service to charge 'much more' for Amazon shipments,2017-12-29
1,"White House, Congress prepare for talks on spending, immigration",2017-12-29
1,"Trump says Russia probe will be fair, but timeline unclear: NYT",2017-12-29
1,"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",2017-12-29
1,Trump on Twitter (Dec 28) - Global Warming,2017-12-29
1,Alabama official to certify Senator-elect Jones today despite challenge: CNN,2017-12-28
1,Jones certified U.S. Senate winner despite Moore challenge,2017-12-28
1,New York governor questions the constitutionality of federal tax overhaul,2017-12-28
1,"Factbox: Trump on Twitter (Dec 28) - Vanity Fair, Hillary Clinton",2017-12-28
1,"Trump on Twitter (Dec 27) - Trump, Iraq, Syria",2017-12-28
1,Man says he delivered manure to Mnuchin to protest new U.S. tax law,2017-12-25
1,Virginia officials postpone lottery drawing to decide tied statehouse election,2017-12-27
1,U.S. lawmakers question businessman at 2016 Trump Tower meeting: sources,2017-12-27
1,"Trump on Twitter (Dec 26) - Hillary Clinton, Tax Cut Bill",2017-12-26
1,U.S. appeals court rejects challenge to Trump voter fraud panel,2017-12-26
1,Treasury Secretary Mnuchin was sent gift-wrapped box of horse manure: reports,2017-12-24
1,Federal judge partially lifts Trump's latest refugee restrictions,2017-12-24
1,Exclusive: U.S. memo weakens guidelines for protecting immigrant children in court,2017-12-23
1,Trump travel ban should not apply to people with strong U.S. ties: court,2017-12-23
1,Second court rejects Trump bid to stop transgender military recruits,2017-12-23
1,Failed vote to oust president shakes up Peru's politics,2017-12-23
1,"Trump signs tax, government spending bills into law",2017-12-22
1,Companies have up to a year for new U.S. tax bill reporting: SEC,2017-12-23
1,"Trump on Twitter (Dec 22) - Tax cut, Missile defense bill",2017-12-22
1,Mexico to review need for tax changes after U.S. reform-document,2017-12-22
1,Senate leader McConnell sees a more collegial 2018,2017-12-22
1,Alabama to certify Democrat Jones winner of Senate election,2017-12-22
1,McConnell happier with Trump tweets after tax victory,2017-12-22
1,House panel asks Trump ex-top aide Bannon to testify: Bloomberg,2017-12-22
1,Callista Gingrich becomes Trump's envoy to pope as differences mount,2017-12-22
1,"As Republicans aim to ride economy to election victory, a warning from voters in key district",2017-12-22
1,Exclusive: State Department tells refugee agencies to downsize U.S. operations,2017-12-21
1,"Congress votes to avert shutdown, sends Trump stopgap spending bill",2017-12-21
1,Factbox: Big-ticket items at center of Congress spending bill,2017-12-21
