label,title,date
1,"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",2008-02-02 00:00:00
1,Donald Trump exaggerates when he says China has 'total control' over North Korea,2016-01-21 00:00:00
1,Impeachment Talk Becomes a Cynical Game,2014-07-30 13:14:31+00:00
1,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,2016-03-15 00:00:00
1,PolitiFact’s annotated transcript of the second presidential debate,2016-10-10 04:00:36.790000+00:00
1,"No, We Can’t? Or Won’t?",2011-07-11 00:00:00
1,Barack Obama’s Remarks in St. Paul,2008-06-03 00:00:00
1,"To young people who are undocumented: This is your country, too.",2016-08-15 20:07:15.488000+00:00
1,"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",2016-09-05 00:00:00
1,It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,2016-03-16 16:33:53.338000+00:00
1,Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,2015-12-22 00:00:00
1,"Transcript: The Democratic debate in Milwaukee, annotated",2016-02-11 00:00:00
1,Strong Words in Ohio as Obama and Clinton Press On,2008-03-03 00:00:00
1,"At Trump hotel site, immigrant workers wary",2015-07-06 00:00:00
1,Missing Teen-Ager Found in New Jersey,1996-07-13 05:00:00+00:00
1,Krugman calls Senate health care bill similar to law in Massachusetts,2010-02-04 00:00:00
1,Philando Castile Had Been Stopped 52 Times By Police,2016-07-09 00:00:00
1,China's Space Threat: How Missiles Could Target U.S. Satellites,2009-12-18 03:06:00+00:00
1,"3rd Democratic debate transcript, annotated: Who said what and what it meant",2015-12-19 00:00:00
1,SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,2012-09-17 20:00:58
1,There’s another choice – Gov. Gary Johnson – Medium,2016-08-08 18:23:25.006000+00:00
1,"Care Without Coverage: Too Little, Too Late",2002-05-21 00:00:00
1,"Ad says Obama apologized, showed weakness on Iran",2012-07-12 00:00:00
1,U.S. Solar Market Insight Report,2017-06-23 14:05:00
1,RAW DATA: Dick Cheney's Remarks to the Center for Security Policy,2009-10-21 00:00:00
1,Crime in Chicago: Explore your community,2019-04-01 01:00:00+00:00
1,Let’s Not Be Civil,2011-04-18 00:00:00
1,"The first Trump-Clinton presidential debate transcript, annotated",2016-09-26 00:00:00
1,Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,2016-05-23 11:29:00+00:00
1,Topic A: How Can President Obama Regain His Political Footing?,2009-08-28 00:00:00
